ra,dec,source,epoch number,alpha,uv_brevity_flux,uv_brevity_error,uv_brevity_luminosity,xr_brevity_flux,xr_brevity_error,xr_brevity_luminosity,SRCID,DETID
158.04613132966,50.88899212376,1909,3,-1.163847,7.193811e-17,7.976443e-18,29.701254,3.641688e-14,3.06451e-15,26.668823,200943827010004,103037203010006
158.04621424555,50.889085426925,1909,3,-1.219511,8.902542e-17,7.999446e-18,29.793809,3.227176e-14,4.13366e-15,26.616343,200943827010004,103037206010006
158.04637279121,50.889013427248,1909,3,-1.235015,9.102109e-17,7.954019e-18,29.803437,3.006462e-14,4.5452e-15,26.585576,200943827010004,103037202010011
158.11282824065,40.226246538756,1910,1,-1.647586,2.132657e-16,9.374612e-18,29.995654,6.380031e-15,1.98745e-15,25.70283,206538105010018,106538105010018
158.14003609373,57.731761947889,1911,1,-1.391008,4.779981e-17,1.948174e-18,29.931699,5.030759e-15,1.11591e-15,26.307395,203032602010024,103032602010024
158.18996595641,50.374615054897,1912,1,-1.672992,3.687114e-16,3.106104e-18,29.944732,1.047991e-14,1.99231e-15,25.585711,205058802010031,105058802010031
158.40792909662,57.710849286127,1913,2,-1.586673,2.901013e-16,7.543266e-18,30.394463,1.116621e-14,1.66692e-15,26.260349,203032602010003,103032605010002
158.40814591896,57.710857660483,1913,2,-1.552464,2.975114e-16,4.040017e-18,30.405417,1.406021e-14,1.20893e-15,26.360435,203032602010003,103032602010003
158.40889908755,57.762324412856,1914,2,-1.269908,6.468338e-17,2.621487e-18,29.498787,1.84981e-14,1.30969e-15,26.190012,203032602010001,103032602010001
158.40899759767,57.762393144031,1914,2,-1.43857,8.824655e-17,4.593883e-18,29.633692,9.17441e-15,1.76449e-15,25.885463,203032602010001,103032605010006
158.41121305363,0.70730959133337,1915,1,-1.571373,1.73815e-16,3.293413e-17,29.073547,1.04574e-14,3.97422e-15,24.979298,203057505010006,103057505010006
158.43735349436,57.819475425261,1916,2,-1.447271,5.538009e-17,3.990927e-18,29.187923,5.967905e-15,1.38644e-15,25.417023,203032602010004,103032605010007
158.43748624512,57.819586494733,1916,2,-1.439323,7.117568e-17,2.718113e-18,29.296901,8.044701e-15,1.02726e-15,25.546711,203032602010004,103032602010004
158.48128106491,39.578435726234,1917,1,-1.378911,1.534072e-16,2.778395e-18,30.755208,1.413949e-14,1.16617e-15,27.162423,201090701010013,105064401010009
158.49015037778,57.615131388282,1918,2,-1.529338,1.536485e-16,1.99811e-18,30.7181,5.898706e-15,1.14331e-15,26.733373,203032602010018,103032602010018
158.49026780806,57.615264474031,1918,2,-1.561786,1.636471e-16,2.990075e-18,30.74548,5.171228e-15,1.80896e-15,26.67621,203032602010018,103032605010022
158.54178270497,58.203115957484,1919,1,-1.774531,2.716692e-16,2.955192e-17,30.279821,3.52329e-15,3.81799e-15,25.656239,205016215010014,105016215010014
158.55574444237,59.995511714026,1920,1,-1.620871,2.018384e-16,4.414448e-18,30.318453,6.083794e-15,2.06508e-15,26.095234,203060507010013,103060507010013
158.55799187725,58.88131100336,1921,1,-1.70793,2.042005e-15,6.731771e-17,30.790962,4.550747e-14,6.63063e-15,26.340909,201429701010002,101429701010002
158.56748552741,39.544769825551,1922,2,-1.298919,4.788142e-17,4.110758e-18,29.706098,9.896737e-15,1.06931e-15,26.321734,201090701010008,105064401010021
158.56756462493,39.544936544736,1922,2,-1.206543,4.953464e-17,3.779712e-18,29.72084,1.782059e-14,5.57385e-15,26.577164,201090701010008,106754402010009
158.59562808783,39.610410434828,1923,1,-1.177667,6.433174e-17,3.947133e-18,30.146747,2.312451e-14,1.15348e-15,27.078307,201090701010005,105064401010003
158.62033473878,39.562140836072,1924,1,-1.523675,3.238506e-16,4.297346e-18,31.372342,9.972149e-15,8.44252e-16,27.40237,201090701010019,105064401010013
158.67035581736,57.787624147236,1925,1,-1.660491,3.509553e-16,4.34964e-18,30.350382,9.182811e-15,1.31416e-15,26.023934,203032602010011,103032602010011
158.71314212884,56.602141041021,1926,1,-1.623099,4.519625e-16,4.85703e-18,30.629954,1.36986e-14,5.88827e-15,26.400932,202025203010006,102025203010006
158.74515303497,39.537920528103,1927,3,-1.648287,3.918544e-16,3.770399e-18,31.129817,7.343014e-15,1.00685e-15,26.835165,201090701010007,105064401010016
158.74519745339,39.537575508407,1927,3,-1.767335,5.784513e-16,4.246923e-18,31.298959,5.306844e-15,2.45407e-15,26.694127,201090701010007,106754401010004
158.7454113791,39.537862612007,1927,3,-1.741637,6.232851e-16,5.17939e-18,31.331379,6.671314e-15,3.30896e-15,26.793502,201090701010007,106754402010004
158.76220356122,56.359696553701,1928,1,-2.100296,2.457079e-16,4.000417e-18,30.556781,3.852192e-16,1.86557e-15,25.084411,202025203010016,102025203010016
159.41427941208,41.696971368957,1929,2,-1.163722,1.679908e-16,7.671072e-18,29.952407,8.943146e-14,5.63506e-15,26.920303,200469401010001,102061801010001
159.41452600389,41.696815698099,1929,2,-1.1714,1.5097e-16,9.825976e-18,29.906012,7.675176e-14,8.00625e-15,26.853901,200469401010001,100469401010001
159.55748582583,53.528564009997,1930,1,-1.43087,1.22237e-16,6.329404e-18,29.996251,1.21095e-14,3.94298e-15,26.268086,201128103010008,101128103010008
159.5678596323,53.614599952821,1931,1,-1.282958,3.836168e-17,3.754142e-18,29.231663,1.030449e-14,5.07345e-15,25.888886,201128103010013,101128103010013
159.61071209607,64.457541033907,1932,1,-1.701844,7.856497e-16,3.526328e-17,30.354477,1.82929e-14,4.17097e-15,25.920282,203031102010001,103031102010001
159.62391581643,58.867816049875,1933,1,-1.530226,1.748467e-16,1.560972e-17,29.921294,1.05275e-14,3.68767e-15,25.934254,205562121010002,105562121010002
159.67258435892,57.936157765089,1934,1,-1.796767,7.84171e-16,2.077111e-17,30.88298,8.329063e-15,3.9449e-15,26.201461,205562109010007,105562109010007
159.67660711307,58.895881075965,1935,1,-1.613354,4.029267e-17,6.360358e-18,29.34993,1.434778e-15,2.07994e-15,25.146298,205562121010015,105562121010015
159.70386858208,53.632615073947,1936,1,-1.532244,2.620916e-16,5.210345e-18,29.225829,2.0047e-14,6.12151e-15,25.233531,201128103010007,101128103010007
159.7300458266,57.970661650327,1937,1,-1.7641,4.613132e-16,2.049591e-17,30.362228,6.775467e-15,3.33547e-15,25.765823,205562109010001,105562109010001
